Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
11/11/17,6700.005,6948.97,6251.009,6440.53,2090.018355,13708181.52,6558.880925
11/10/17,7123,7241.274,6500,6700.001,1917.815355,13327133.82,6949.12249
11/9/17,7475,7489,7051.111,7135.005,1798.827835,12969525.4,7209.987051
11/8/17,7260.3,7849.997,7000.007,7489,2343.706426,17431171.53,7437.438127
11/7/17,7091.787,7380,7069.45,7260.285,1167.235526,8465531.462,7252.633484
11/6/17,7469.934,7565.802,6975.58,7100.382,1784.294351,13038889.37,7307.588774
11/5/17,7403,7700,7365.284,7469.935,2570.986079,19328146.76,7517.795185
11/4/17,7246.003,7497.999,7065,7402.82,2420.66891,17625119.18,7281.094539
11/3/17,7107,7499.999,7000.854,7246.002,2948.982135,21565813.72,7312.968587
11/2/17,6802.025,7448.899,6701.3,7107,2952.625715,20779470.26,7037.624227
11/1/17,6469.096,6800.048,6396.169,6800.048,2263.89802,14858032.18,6563.030688
10/31/17,6177.443,6478.456,6150,6469.3,2397.967822,15118880.72,6304.872225
10/30/17,6180,6217.649,6057.236,6177.443,2456.622321,15086005.11,6140.954179
10/29/17,5941.06,6248.367,5889.35,6180,2314.131305,13930034.04,6019.552134
10/28/17,5865.53,6000,5835,5939.35,1768.249615,10459299.41,5915.058214
10/27/17,5968.635,6059.634,5815.3,5883.025,3039.952986,18022879.64,5928.670517
10/26/17,5830,6052,5746,5968.635,3319.378014,19635492.86,5915.413303
10/25/17,5619.13,5832,5530,5820.51,2892.771901,16473547.02,5694.727266
10/24/17,5988.992,5999,5557.221,5617.71,2485.103101,14309889.36,5758.267877
10/23/17,6123.946,6155,5900,5983.24,2589.429153,15629635.58,6035.938681
10/22/17,6110.278,6160,5900.001,6123.944,1640.282822,9938198.371,6058.832194
10/21/17,6022.683,6200,5971.218,6110.277,1840.327885,11222551.94,6098.126334
10/20/17,5720,6067,5589,6022.933,2295.661528,13400691.64,5837.398709
10/19/17,5689.5,5785,5575.892,5711.001,1701.521734,9706667.206,5704.697748
10/18/17,5684.495,5700.327,5174.645,5680,3878.314575,21246131.51,5478.186749
10/17/17,5762.626,5775,5555.399,5684.495,2487.150767,14114411.32,5674.931936
10/16/17,5675.185,5780,5601.78,5762.626,2033.942902,11533722.36,5670.622489
10/15/17,5844.158,5850,5400,5670.59,2403.41634,13507834.89,5620.264232
10/14/17,5641.43,5850,5567.499,5838.46,1599.451635,9122993.508,5703.825805
10/13/17,5500.002,5931.664,5461.428,5656.871,3410.055274,19354638.17,5675.754971
10/12/17,4900.36,5500.095,4884.64,5500.048,3351.716149,17492850.47,5219.072765
10/11/17,4844.498,4962,4841,4900.28,879.7970078,4315885.836,4905.547301
10/10/17,4882.99,5004,4834,4841.001,1484.942605,7296754.19,4913.829105
10/9/17,4702,4969.999,4651,4882.99,1659.993893,7989295.837,4812.846525
10/8/17,4497.999,4747.582,4460.001,4701.39,1290.169149,5951409.421,4612.890817
10/7/17,4425.23,4500,4390,4497.999,1643.928667,7261011.343,4416.865215
10/6/17,4468.374,4515,4380,4445.18,5048.09441,22477103.67,4452.591779
10/5/17,4297.12,4520.52,4240,4468.374,2809.108779,12486726.27,4445.084635
10/4/17,4387,4450,4219.941,4297.12,2813.290188,12327428.74,4381.854666
10/3/17,4977,5010,4302.298,4387,3526.295898,16056970.44,4553.494914
10/2/17,4942,5058.454,4917.369,4970.914,800.6640933,4003597.736,5000.3463
10/1/17,4851,4949.278,4800,4942.081,305.6462834,1481504.42,4847.120677
9/30/17,4663.507,4882,4660.004,4860,402.0364479,1937515.807,4819.254117
9/29/17,4594.999,4729.999,4500,4687,584.1788836,2696331.603,4615.592378
9/28/17,4750,4830,4552,4595,1015.285548,4756237.402,4684.630263
9/27/17,4449.001,4750,4428.1,4750,841.731415,3862521.663,4588.78164
9/26/17,4404.126,4495,4340,4440,363.0009803,1610556.667,4436.783246
9/25/17,4155,4480,4145,4406,894.7135236,3900982.887,4360.035681
9/24/17,4217.778,4220,4080,4155,322.576033,1340507.271,4155.631956
9/23/17,4033.877,4234.181,4000,4222.001,492.0375069,2049765.831,4165.873135
9/22/17,4031.686,4159,3949,4057.986,630.5158836,2551071.555,4046.006804
9/21/17,4310,4368.77,3925,4038.59,1329.859903,5512970.179,4145.527033
9/20/17,4277.128,4415,4230,4310,618.505823,2682597.574,4337.222828
9/19/17,4280,4375,4240,4288.304,429.5786515,1854118.885,4316.133676
